"CAMPAIGN: CMP_01"
"List ID #101: ESP 70K soufiane 0104 TEST"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #102: Base Adil 0604"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #103: 100K ESP 0604 SOUFIANE PART2"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #104: EXT FICH SERV 51 MIXT"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #105: FICHE ESP 090426 P2"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #106: EXTRACT SERV 141 P1"
"***NO CALLS FOUND FROM 2026-04-22 00:00:00 TO 2026-04-22 23:59:59***"

"List ID #107: FICHE ESP 090426 P3"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","43434","00:00:00","00:00:00.0000"
"AB","31999","00:00:00","00:00:00.0000"
"AA","2142","00:01:49","00:00:00.0508"
"XFER","1874","18:33:20","00:00:35.6456"
"SHCALL","872","01:45:13","00:00:07.2396"
"DROP","773","00:49:59","00:00:03.8796"
"ADC","198","00:00:00","00:00:00.0000"
"PDROP","195","00:00:00","00:00:00.0000"

"List ID #108: SOUFIANE 150K ESP132 P2"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","44752","00:00:00","00:00:00.0000"
"AB","36578","00:00:00","00:00:00.0000"
"AA","1059","00:01:03","00:00:00.0594"
"XFER","839","08:06:39","00:00:34.8021"
"SHCALL","502","00:56:33","00:00:06.7589"
"DROP","501","00:31:42","00:00:03.7964"
"PDROP","135","00:00:00","00:00:00.0000"
"ADC","70","00:00:00","00:00:00.0000"

"List ID #109: 50K SRCE SOUF 100K 170426  P1"
"DISPOSITION","CALLS","DURATION","HANDLE TIME"
"NA","13141","00:00:00","00:00:00.0000"
"AB","8201","00:00:00","00:00:00.0000"
"AA","815","00:00:45","00:00:00.0552"
"SHCALL","563","01:03:14","00:00:06.7388"
"XFER","523","04:51:39","00:00:33.4588"
"DROP","390","00:30:37","00:00:04.7102"
"PDROP","50","00:00:00","00:00:00.0000"
"ADC","21","00:00:00","00:00:00.0000"

